GEOID,INTPTLAT,INTPTLON,rpe_1d_1y
0901509190,41.7872432,-71.9574014,2391.642647935667
0901512130,41.6939604,-72.0091181,2404.2247519599987
0901513810,41.7908895,-72.1295395,2387.7350398561985
0900517240,41.8496485,-73.3300949,2314.4037638398477
0900532290,41.8495372,-73.2340016,2346.926031818882
0900537280,41.7613447,-73.0604432,2428.6627238590877
0900540290,41.729782,-73.45414,2333.7078398203107
0900549460,41.6943231,-73.2099985,2400.9628158791056
0901521860,41.8955903,-72.0933042,2361.361823896086
0901559980,41.6974568,-71.8968484,2415.927469833981
0901561030,41.8680405,-71.9722603,2378.61289188567
0900543370,41.7409368,-73.192751,2395.9149278789982
0900551350,41.8410525,-72.998664,2411.6128454843765
0900552630,41.6012664,-73.4228069,2407.1552998202133
0900553470,41.969922,-73.178483,2325.3917717677823
0900554030,42.0222208,-73.2956407,2266.403363779454
0900567960,41.8607627,-73.4492152,2287.0111279002945
0900575730,41.6649542,-73.0960607,2440.6428926640465
0900576570,41.8340717,-73.1314085,2386.6961478386165
0900579510,41.7358548,-73.3428314,2353.3838542639355
0900579720,41.6561747,-73.3101747,2393.5942157997238
0900580490,41.6172455,-73.1143619,2444.637651899254
0900586440,41.9272131,-73.1093363,2362.132860633382
0900587910,41.5616321,-73.2060959,2468.3124438799996
0900987560,41.594792,-72.9685135,2471.5219736065897
0901573420,41.7012,-71.8159882,2438.806831990453
0901575870,41.9902867,-71.8670243,2355.33119192
0901588190,41.9662084,-72.0227864,2354.1099839200006
0900903250,41.443685,-73.0519252,2483.719848001876
0901166210,41.4893505,-72.2583804,2452.766643913202
0901171670,41.6355702,-72.0775268,2425.069583967924
0901178600,41.5791925,-71.8312276,2381.764321458102
0901180280,41.3516858,-72.146834,2476.5822160162543
0901562710,41.9080271,-71.8704519,2379.6560158553957
0901586790,41.7144745,-72.168667,2406.5491398563217
0900560750,41.6663915,-73.0265164,2459.0205693316975
0900715350,41.2951299,-72.5300394,2464.9067477423496
0900502760,41.9357077,-72.9729214,2407.3762607622984
2302921730,44.9109583,-67.0089131,2120.44498812
2302928660,45.2203109,-67.7544481,2119.1859586447836
2302935905,44.6655035,-67.5949703,2325.088541276888
2302941610,44.8054011,-67.0317838,2104.314056039617
2302941960,44.6963013,-67.444269,2332.775375840001
2302951375,44.8197738,-67.6151116,2247.4687299352818
2302957780,44.9168049,-67.1349551,2139.905812118592
2302961035,45.180373,-67.558146,2134.6413541002007
2302501395,44.8362855,-69.9663907,2037.920491978975
2302501885,44.9652597,-69.6669351,2037.3559625449727
2302507380,45.0661839,-69.7057705,2024.9234038886812
2302509935,44.7821763,-69.5463165,2047.6388439599996
2302510495,45.2123872,-69.9034294,1885.258159698587
2302511820,45.0045553,-70.0176044,1979.3633437185915
2302517285,45.6584831,-70.3387661,1690.7748324844752
2302517460,44.7730914,-69.3015372,2027.9570600752174
2302523410,44.9256864,-69.9330384,2039.488415898771
2302531355,44.9771472,-69.5455539,2034.7576640399996
2302532895,45.093193,-70.1005015,1896.0266397196237
2302535345,45.6188824,-70.1771749,1717.294967530936
2302542660,44.8263541,-69.7997127,2047.1280160710294
2302545110,44.6445293,-69.908,2055.228466586402
2302549835,44.7329386,-69.8201399,2039.9999999999995
2302556520,44.8431509,-69.3683556,2012.1448354669997
2302559005,44.769837,-69.4337529,2041.7894679521626
2302559705,45.0937757,-69.969875,1949.5795797084966
2302564850,44.9274107,-69.3873536,2000.950997948103
2302568910,44.7682387,-69.6776098,2045.058168756092
2302569155,44.6418193,-69.7998896,2051.963367919999
2300901185,44.8698857,-68.4004558,2080.3359118938884
2300902165,44.8751345,-68.2668831,2115.431915888429
2302569505,44.9393802,-69.8081422,2049.77437596
2302573845,44.7366691,-69.9541415,2039.0997079599997
2302576190,45.2996262,-69.9283179,1838.791914501923
2301333840,44.2411781,-69.1885129,2312.6672996541506
2300326735,47.2741176,-68.3982297,1658.2185603639932
2300327855,45.8098273,-68.1017157,1919.9621718800008
2300330725,46.2267974,-67.9748308,1857.8935438066162
2300332195,45.7831219,-67.9927855,1925.5761158800026
2300332685,46.0770593,-68.3579386,1845.7586518800001
2300379865,47.150199,-68.6134946,1706.4761199600007
2300380285,46.7915591,-68.109755,1704.5129079600006
2300383540,46.9751293,-68.2472485,1684.48448396
2301901115,45.0433526,-68.7743492,2052.560816011579
2301914380,44.9804728,-69.0107477,2018.9999999999998
2301934365,44.9926362,-68.8884754,2023.8829519661442
2300383785,45.7225583,-67.8653794,1947.1720158399992
2300387215,46.8840579,-68.1195081,1691.4130519599994
2300311335,47.018163,-67.8632272,1633.8820509986108
2300325755,47.2353421,-68.5657433,1690.9070919548572
2300333385,46.0496959,-67.8304501,1880.6078777774705
2300335065,45.9858067,-68.2027754,1879.2371199246027
2301708150,43.9307985,-70.9185838,2228.487027505405
2301708710,44.2605742,-70.3671286,2149.9067598907322
2300734820,44.751142,-70.0490843,2032.4774003884806
2301102100,44.3349037,-69.7341987,2109.934667880001
2301112350,44.2664086,-69.7302019,2131.9377078887564
2301112735,44.4144727,-69.5352715,2103.0613918563035
2301113470,44.6654738,-69.540766,2063.6431439599996
2301124670,44.2605484,-69.8278048,2126.272464539625
2300333980,46.1403853,-67.8423458,1875.8550988451616
2300339300,46.90692,-67.8630059,1641.851724071116
2300339965,46.050372,-67.9721956,1881.3809213399072
2300340595,46.235924,-67.8433315,1866.0780199570997
2300342450,45.6328276,-68.2401015,1975.5070282925367
2300342520,47.2932982,-68.2518091,1626.3255239558316
2300300800,47.0941438,-69.102951,1709.3486239268098
2300301220,45.913372,-67.8453936,1885.8953599600002
2300301710,46.6504408,-68.3883728,1708
2300343255,46.7020076,-68.1120009,1714.25908796
2300343710,46.5592719,-67.8532254,1749.2750678429334
2300346685,46.3285164,-67.8471437,1835.1683339804135
2300347175,46.1700938,-68.3769445,1812.2662318800026
2300302760,45.6918268,-67.9691571,1959.4423518800008
2300305385,46.4875576,-67.8471231,1779.817579802912
2300515430,43.7871205,-70.2511537,2292.700449234056
2300307065,46.4135147,-67.8491551,1810.2360958429206
2300310565,46.8365493,-67.9360555,1680.054827956811
2300311020,45.9796894,-67.8471567,1884.0000000000002
2300311785,46.3917452,-68.2060352,1743.642702769755
2300349415,46.9763913,-68.1149617,1681.3330439599995
2300354385,46.075083,-68.1149751,1866.193027923745
2300355435,45.8217231,-67.8546391,1908.679683880001
2301124950,44.4340068,-70.0670336,2115.5440320302
2301127085,44.1950908,-69.793771,2144.425687888952
2301130550,44.2872407,-69.8180401,2121.0415456554365
2301143080,44.3424267,-69.8619349,2108.4087959600006
2301146405,44.2335047,-70.0147235,2135.2256919503625
2301154560,44.5792785,-69.7332342,2058.98657996
2300330690,47.0779946,-67.8845527,1641.292648073943
2300360825,46.6889522,-67.991914,1713.8257359599997
2300364780,47.2357317,-68.3173048,1653.6673928458636
2300312000,46.5992969,-68.119375,1720.6571068519368
2300315990,47.0809849,-68.0051536,1665.2110236192545
2300319210,46.0921107,-68.2495819,1850.4436038841627
2300321380,46.6333043,-67.8476235,1727.9003063258742
2300325615,46.7762407,-67.859197,1684.6569879170504
2300365200,47.1607889,-68.7311185,1704.1572391012778
2300367790,45.8900128,-68.3593451,1903.3969279199994
2300369260,46.1614771,-68.1036778,1850.311360765581
